"","X","pubbel1","pribel1","pribel2","pribel3","othbel1","othbel2","pubact1","pubact2","priact1","priact2","iden1","iden2","iden3","country","sex","age","educ","wrkstat","ethnic","denom","marital"
"73547",73547,1,1,1,1,2,4,2,1,2,2,1,1,10,840,2,35,9,5,840010,2,1
"73548",73548,3,1,1,1,2,1,7,3,2,4,1,2,10,840,1,49,5,1,840010,96,3
"73549",73549,2,1,1,1,2,1,4,2,2,-1,1,1,10,840,2,53,3,5,840010,80,1
"73550",73550,2,1,1,1,2,4,2,1,2,1,1,1,10,840,2,40,5,1,840010,1,1
"73551",73551,3,1,-1,-1,2,1,6,2,1,3,2,2,6,840,1,67,5,4,840010,99,3
"73552",73552,2,1,1,1,2,1,1,1,1,2,1,1,10,840,2,18,3,5,840010,80,1
"73553",73553,2,1,-1,1,2,1,3,2,1,2,2,2,8,840,2,25,5,1,840010,2,2
"73554",73554,3,1,1,1,2,7,6,3,1,2,2,2,5,840,1,29,2,1,840010,96,1
"73555",73555,1,1,1,1,2,2,2,3,1,2,1,2,9,840,2,68,3,4,840010,2,5
"73556",73556,1,1,1,1,2,1,1,1,1,1,1,1,9,840,2,20,6,2,840010,2,6
"73557",73557,3,1,1,1,1,1,2,2,2,2,1,1,5,840,1,76,3,4,840010,2,1
"73558",73558,2,1,1,1,2,1,3,1,1,2,2,1,6,840,2,71,3,5,840010,2,5
"73559",73559,3,1,1,1,2,4,2,1,3,1,1,2,10,840,2,80,5,4,840010,1,5
"73560",73560,2,1,1,1,2,1,4,2,1,2,1,2,8,840,2,72,5,4,840010,2,5
"73561",73561,1,1,1,1,2,1,3,1,1,1,1,1,10,840,1,38,5,1,840011,80,1
"73562",73562,2,1,1,1,2,1,3,2,1,1,1,1,10,840,2,24,9,1,840010,1,6
"73563",73563,1,1,1,1,2,3,2,1,1,2,1,2,7,840,1,44,9,1,840010,80,1
"73564",73564,4,2,2,2,2,1,4,3,2,1,2,4,1,840,1,53,9,1,840010,4,1
"73565",73565,2,1,1,1,2,1,5,2,1,2,1,2,10,840,1,61,9,4,840010,2,1
"73566",73566,2,1,1,2,2,1,2,2,1,1,1,1,10,840,2,68,9,4,840010,2,3
"73567",73567,3,1,1,2,2,1,7,3,1,1,3,1,9,840,2,69,6,4,840010,99,5
"73568",73568,2,1,1,1,2,1,6,2,2,2,1,2,2,840,1,79,9,4,840010,2,1
"73569",73569,2,1,1,1,2,1,3,2,2,2,1,2,6,840,1,46,4,1,840010,2,1
"73570",73570,1,1,1,1,2,1,2,1,2,1,1,1,10,840,2,73,8,5,840010,1,1
"73571",73571,1,1,1,1,2,2,3,2,2,1,1,2,7,840,2,40,6,6,840010,2,3
"73572",73572,1,1,1,1,2,1,2,1,1,1,1,1,10,840,1,76,5,4,840010,2,5
"73573",73573,2,1,1,1,1,1,3,1,2,1,1,1,9,840,2,18,8,2,840010,1,6
"73574",73574,1,1,1,1,2,4,2,1,2,1,1,1,10,840,2,47,5,2,840011,2,1
"73575",73575,4,1,1,1,2,5,7,3,2,1,1,2,10,840,1,46,7,1,840004,96,1
"73576",73576,3,1,1,1,2,4,6,3,2,1,1,4,10,840,1,73,6,4,840004,96,1
"73577",73577,2,1,1,1,2,3,6,3,1,2,1,2,10,840,1,39,4,1,840004,96,3
"73578",73578,2,1,1,1,2,1,4,3,1,1,1,1,10,840,2,51,2,5,840010,5,1
"73579",73579,3,1,-1,2,2,1,5,2,2,2,1,2,8,840,2,66,4,4,840010,2,1
"73580",73580,2,1,1,-1,2,2,2,1,2,1,1,2,9,840,2,36,7,1,840010,1,1
"73581",73581,1,1,1,1,2,3,2,1,2,2,1,2,9,840,1,62,5,1,840010,1,1
"73582",73582,3,1,1,1,2,2,4,3,1,2,1,2,10,840,2,57,5,1,840010,1,1
"73583",73583,1,-1,-1,1,2,1,3,1,1,2,-1,1,10,840,2,39,7,1,-2,1,1
"73584",73584,1,1,1,1,2,5,2,1,1,3,1,1,9,840,1,42,7,1,840010,1,1
"73585",73585,1,1,-1,1,2,1,2,1,1,2,1,2,8,840,2,31,7,2,840010,1,1
"73586",73586,3,2,-1,-1,1,-1,7,3,-1,-1,3,4,1,840,1,45,5,1,840010,4,3
"73587",73587,2,1,1,1,2,-1,4,2,2,2,2,2,8,840,1,41,5,1,840010,1,1
"73588",73588,2,1,1,1,2,1,2,1,1,3,1,2,7,840,2,22,7,6,840010,1,6
"73589",73589,-1,1,1,-1,2,-1,5,2,2,2,2,2,7,840,1,38,7,1,840010,4,6
"73590",73590,2,1,1,2,2,4,7,2,2,4,2,2,3,840,1,31,8,1,840010,96,1
"73591",73591,2,1,1,2,2,2,4,2,2,3,1,2,4,840,2,28,9,1,840010,4,1
"73592",73592,1,1,1,1,2,1,2,2,1,2,1,1,9,840,2,36,3,7,840004,1,1
"73593",73593,1,1,1,1,2,1,3,1,1,1,1,2,8,840,1,27,9,1,840010,80,6
"73594",73594,1,1,1,1,2,1,5,2,2,4,1,1,9,840,1,22,8,6,840004,80,6
"73595",73595,1,1,1,1,2,1,2,1,1,1,1,1,10,840,2,44,9,1,840004,80,1
"73596",73596,1,1,1,1,2,1,2,1,1,2,-1,1,10,840,2,32,9,1,840004,1,1
"73597",73597,2,1,1,1,1,1,1,1,1,1,1,1,10,840,1,77,6,4,840010,2,5
"73598",73598,2,1,1,1,2,1,5,3,1,1,1,1,9,840,2,51,5,5,840010,2,1
"73599",73599,2,1,1,1,2,1,3,1,1,2,1,1,10,840,2,31,4,1,840010,2,1
