"","X","country","pubbel1","pubbel2","pubbel3","pubbel4","othbel1","othbel2","pubact1","pubact2","priact1","priact2","iden1","iden2","iden3","sex","age","educ","wrkstat","ethnic","denom","marital"
"78964",78964,840,1,5,-2,2,2,1,2,2,1,2,1,1,10,2,86,5,4,1400,64,1
"78965",78965,840,1,4,4,1,2,1,1,2,1,1,1,1,10,2,69,5,5,1400,62,1
"78966",78966,840,2,2,4,1,2,1,1,2,1,2,1,1,10,2,61,5,4,1400,53,1
"78967",78967,840,2,5,5,1,2,1,2,2,1,1,1,1,10,1,57,7,1,1400,64,1
"78968",78968,840,2,4,4,4,2,4,2,0,1,2,1,2,5,1,78,3,4,1400,64,1
"78969",78969,840,3,4,4,4,1,3,6,1,1,2,2,3,3,1,39,8,1,8000,0,6
"78970",78970,840,2,4,2,5,2,1,4,1,2,3,1,3,5,1,73,7,4,1400,64,1
"78971",78971,840,3,2,2,2,2,2,6,0,1,2,2,3,10,1,78,3,4,8000,0,4
"78972",78972,840,2,2,1,4,2,1,6,1,1,1,1,2,10,2,73,4,4,1400,53,5
"78973",78973,840,2,1,5,1,2,2,6,1,1,1,1,2,10,1,32,5,8,1400,62,6
"78974",78974,840,2,4,4,4,2,1,4,1,2,3,2,3,4,1,52,6,8,1400,62,3
"78975",78975,840,2,4,4,4,2,3,2,2,1,1,1,2,10,2,61,8,1,1400,64,1
"78976",78976,840,1,1,5,4,2,3,6,0,2,3,3,1,4,1,33,6,1,1250,53,6
"78977",78977,840,1,1,1,1,2,1,1,2,1,2,1,1,10,1,84,5,4,1400,62,1
"78978",78978,840,2,4,4,2,2,1,2,2,1,2,1,1,10,2,60,6,3,1400,62,1
"78979",78979,840,1,5,2,4,1,4,6,2,1,1,1,1,6,2,35,7,1,200,0,6
"78980",78980,840,1,5,2,4,1,1,7,0,1,2,2,3,8,1,68,4,4,1400,62,1
"78981",78981,840,3,4,2,4,1,4,7,0,1,2,1,3,9,1,25,5,1,1400,0,6
"78982",78982,840,3,4,1,2,2,1,7,0,1,3,1,3,8,1,62,8,4,1400,62,5
"78983",78983,840,1,2,4,2,2,1,2,2,1,1,1,1,10,2,65,5,4,1400,62,1
"78984",78984,840,1,4,4,4,2,9,1,2,1,1,1,1,10,1,42,7,1,200,62,1
"78985",78985,840,2,5,1,1,2,1,4,0,2,2,2,2,5,1,75,6,4,1400,42,1
"78986",78986,840,2,5,5,5,2,6,2,2,1,1,1,1,10,1,50,5,8,1400,0,1
"78987",78987,840,3,4,4,4,2,1,3,0,2,1,1,1,10,2,71,4,1,1400,0,5
"78988",78988,840,3,5,2,5,2,1,7,0,1,2,1,2,10,1,59,8,4,200,0,6
"78989",78989,840,3,4,4,4,2,2,7,0,1,2,2,2,4,1,33,4,1,1400,0,1
"78990",78990,840,2,1,2,1,2,1,1,2,1,1,1,1,10,1,38,7,1,1400,62,1
"78991",78991,840,2,4,4,4,2,3,6,1,1,3,1,3,7,1,50,4,8,1400,0,1
"78992",78992,840,3,5,1,4,2,1,7,1,1,2,1,2,9,1,65,8,4,1400,62,1
"78993",78993,840,1,4,1,4,1,1,7,0,2,3,2,3,1,1,62,4,3,1400,0,3
"78994",78994,840,2,2,5,2,2,1,2,1,1,2,1,1,10,1,70,7,4,1400,64,1
"78995",78995,840,3,4,5,1,2,1,2,0,1,2,1,2,10,2,61,6,5,1400,62,1
"78996",78996,840,2,4,2,2,2,3,7,0,-2,4,1,2,10,1,42,5,1,1400,0,3
"78997",78997,840,2,1,5,1,2,2,2,2,1,3,1,1,10,2,72,4,4,1400,62,5
"78998",78998,840,1,2,4,2,2,1,1,2,1,1,1,1,10,1,52,6,3,1400,62,3
